moderation-label, timestamp
Hate Symbols, 0.467000
White Supremacy, 0.467000
Hate Symbols, 0.967000
White Supremacy, 0.967000
Hate Symbols, 4.971000
White Supremacy, 4.971000
Hate Symbols, 6.973000
White Supremacy, 6.973000
Hate Symbols, 12.479000
White Supremacy, 12.479000
Hate Symbols, 12.979000
White Supremacy, 12.979000
Hate Symbols, 20.987000
White Supremacy, 20.987000
Hate Symbols, 23.490000
Nazi Party, 23.490000
Hate Symbols, 24.491000
Nazi Party, 24.491000
Hate Symbols, 24.991000
Nazi Party, 24.991000
Hate Symbols, 25.492000
Nazi Party, 25.492000
Hate Symbols, 25.992000
Nazi Party, 25.992000
Physical Violence, 26.493000
Violence, 26.493000
Hate Symbols, 26.993000
Nazi Party, 26.993000
Physical Violence, 94.060000
Violence, 94.060000
Hate Symbols, 132.098000
White Supremacy, 132.098000
Hate Symbols, 133.099000
White Supremacy, 133.099000
